#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     290	Abell 3921           	 0.0930	22 49 57.00	-64 25 46.0	X-ray	 5.27	 0.73	 0.71	 29.610	  2.150	-	 1.770	 6.97	 0.97	 0.94	 35.810	   2.600	-	 2.140	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3921
     291	Abell 2175           	 0.0961	16 20 22.90	+29 54 54.0	LOSVD	 2.13	 0.34	 1.20	  5.030	  1.250	-	 1.330	 2.87	 0.46	 1.62	  6.690	   1.660	-	 1.770	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2175
     292	Abell 2175           	 0.0961	16 20 22.90	+29 54 54.0	CM   	 0.64	     	     	  1.340	       	 	      	 0.93	     	     	  2.230	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2175
     293	Abell 3911           	 0.0970	22 46 18.60	-52 43 46.0	X-ray	 5.59	 1.33	 1.39	  3.880	  0.500	-	 0.500	 7.24	 1.72	 1.80	  4.610	   0.590	-	 0.590	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 3911
     294	Abell 2110           	 0.0971	15 39 48.70	+30 43 02.0	CM   	 4.69	     	     	  2.140	       	 	      	 6.11	     	     	  2.590	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2110
     295	Abell 2048           	 0.0972	15 15 17.80	+04 22 56.0	LOSVD	31.00	20.90	20.90	  5.020	       	 	      	39.00	26.00	26.00	  5.450	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 2048
     296	Abell 3827           	 0.0980	22 01 56.00	-59 56 58.0	X-ray	 4.47	 0.67	 0.64	  6.610	  0.730	-	 0.730	 5.83	 0.87	 0.83	  8.020	   0.890	-	 0.890	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 3827
     297	Abell 3827           	 0.0980	22 01 56.00	-59 56 58.0	X-ray	 4.45	 0.67	 0.77	 78.900	  5.260	-	 4.270	 5.91	 0.89	 1.02	 96.980	   6.470	-	 5.250	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3827
     298	Abell 2244           	 0.0997	17 02 42.90	+34 03 43.0	X-ray	 2.43	 0.84	 0.81	 36.520	  3.160	-	 3.180	 3.30	 1.14	 1.10	 48.310	   4.180	-	 4.210	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2244
     299	Abell 2244           	 0.0997	17 02 42.90	+34 03 43.0	CM   	 3.83	     	     	  4.360	       	 	      	 5.02	     	     	  5.380	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2244
     300	PKS 0745-191         	 0.1030	07 47 31.30	-19 17 40.0	X-ray	 6.45	 0.73	 0.61	 33.520	  3.170	-	 3.170	 8.45	 0.96	 0.80	 39.710	   3.760	-	 3.760	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	PKS 0745-191
     301	PKS 0745-191         	 0.1030	07 47 31.30	-19 17 40.0	X-ray	 5.86	 1.56	 1.07	 11.820	  4.700	-	 3.550	 7.55	 1.95	 1.34	 13.890	   5.850	-	 1.070	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	PKS 0745-191
     302	PKS 0745-191         	 0.1030	07 47 31.30	-19 17 40.0	X-ray	 5.46	 3.22	 2.88	  9.700	 52.200	-	 8.500	 7.05	 4.04	 3.63	 11.000	  67.000	-	10.000	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	PKS 0745-191
     303	PKS 0745-191         	 0.1030	07 47 31.30	-19 17 40.0	X-ray	 5.12	 0.40	 0.40	 10.000	  1.200	-	 1.200	 6.62	 0.50	 0.50	 11.900	   1.500	-	 1.500	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	PKS 0745-191
     304	PKS 0745-191         	 0.1030	07 47 31.30	-19 17 40.0	X-ray	 3.83	 0.52	 0.27	 18.600	  3.500	-	 4.000	 5.00	 0.66	 0.34	 22.700	   4.500	-	 5.100	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	PKS 0745-191
     305	Abell 1446           	 0.1040	12 01 51.50	+58 01 18.0	X-ray	 9.16	 0.67	 0.72	 12.660	  1.260	-	 1.150	11.89	 0.87	 0.93	 14.590	   1.450	-	 1.330	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1446
     306	RXC J0049.4-2931     	 0.1080	00 49 24.00	-29 31 28.0	X-ray	12.77	 3.80	 3.18	  0.940	  0.160	-	 0.160	16.17	 4.81	 4.03	  1.050	   0.180	-	 0.180	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0049.4-2931
     307	ZwCl 0740.4+1740     	 0.1114	07 43 23.16	+17 33 40.0	WL   	 1.80	 1.50	 1.50	  7.000	  4.400	-	 4.400	 2.40	 1.90	 1.90	  9.500	   7.100	-	 7.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ClG J0743+1733
     308	ZwCl 0740.4+1740     	 0.1114	07 43 23.16	+17 33 40.0	WL   	 2.09	 1.49	 1.00	  4.360	  4.060	-	 1.770	 2.85	 2.03	 1.37	  5.890	   5.480	-	 2.390	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	ClG J0743+1733
     309	Abell 2034           	 0.1130	15 10 11.70	+33 30 53.0	X-ray	 2.46	 0.81	 0.06	 17.640	  2.170	-	 2.170	 3.26	 1.07	 0.08	 22.820	   2.810	-	 2.810	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2034
     310	Abell 2034           	 0.1130	15 10 11.70	+33 30 53.0	WL   	 2.84	 1.79	 1.79	  8.090	  5.550	-	 5.550	 3.74	 2.25	 2.25	 10.240	   6.140	-	 6.140	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 2034
     311	Abell 2034           	 0.1130	15 10 11.70	+33 30 53.0	X-ray	 2.46	 0.59	 0.62	 19.980	  2.540	-	 1.370	 3.33	 0.80	 0.84	 26.280	   3.340	-	 1.800	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2034
     312	Abell 2051           	 0.1150	15 16 34.00	-00 56 56.0	X-ray	 2.75	 0.49	 0.06	  4.730	  0.420	-	 0.420	 3.63	 0.65	 0.08	  6.030	   0.540	-	 0.540	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2051
     313	Abell 1361           	 0.1170	11 43 45.10	+46 21 21.0	X-ray	 7.28	 0.83	 0.81	 11.070	  1.340	-	 1.180	 9.46	 1.08	 1.05	 12.950	   1.570	-	 1.380	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1361
     314	Abell 2050           	 0.1180	15 16 19.20	+00 05 52.0	X-ray	 7.06	 1.64	 1.54	  2.840	  0.410	-	 0.410	 9.03	 2.10	 1.97	  3.300	   0.480	-	 0.480	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2050
     315	Abell 3814           	 0.1180	21 49 07.40	-30 41 55.0	X-ray	 4.79	 0.43	 0.49	  2.210	  0.210	-	 0.210	 6.19	 0.56	 0.63	  2.650	   0.250	-	 0.250	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 3814
     316	RXC J1141.4-1216     	 0.1190	11 41 24.30	-12 16 20.0	X-ray	 3.15	 0.19	 0.24	  4.880	  0.370	-	 0.370	 4.13	 0.25	 0.31	  6.120	   0.460	-	 0.460	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J1141.4-1216
     317	Abell 1664           	 0.1280	13 03 41.80	-24 13 06.0	X-ray	 7.24	 0.83	 0.81	 22.840	  2.810	-	 2.190	 9.38	 1.08	 1.05	 26.680	   3.280	-	 2.560	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1664
     318	Abell 1084           	 0.1320	10 44 33.00	-07 04 22.0	X-ray	 4.56	 0.34	 0.25	  2.860	  0.180	-	 0.180	 5.88	 0.44	 0.32	  3.440	   0.220	-	 0.220	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1084
     319	RX J1416.4+2315      	 0.1370	14 16 26.90	+23 15 31.0	X-ray	11.20	 4.50	 4.50	  3.100	  1.000	-	 1.000	14.10	 5.60	 5.60	  3.500	   1.300	-	 1.300	Khosroshahi et al. (2006)           	200            	 0.300	 0.700	 0.700	RX J1416.4+2315
     320	Abell 1068           	 0.1375	10 40 43.90	+39 56 53.0	X-ray	 3.02	 0.20	 0.22	  6.400	  0.480	-	 0.480	 3.94	 0.26	 0.29	  8.020	   0.600	-	 0.600	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1068
     321	Abell 1068           	 0.1375	10 40 43.90	+39 56 53.0	X-ray	 3.05	 0.21	 0.22	  7.710	  0.710	-	 0.780	 4.05	 0.28	 0.29	  9.800	   0.900	-	 0.990	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1068
     322	Abell 1068           	 0.1375	10 40 43.90	+39 56 53.0	X-ray	 3.69	 0.26	 0.26	  5.680	  0.490	-	 0.490	 4.77	 0.33	 0.33	  6.900	   0.650	-	 0.650	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 1068
     323	RXC J2218.6-3853     	 0.1380	22 18 40.20	-38 53 51.0	X-ray	 3.16	 0.85	 0.55	  8.760	  1.620	-	 1.620	 4.12	 1.11	 0.72	 10.920	   2.020	-	 2.020	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J2218.6-3853
     324	RXC J0605.8-3518     	 0.1410	06 05 52.80	-35 18 02.0	X-ray	 4.10	 0.34	 0.34	  4.510	  0.360	-	 0.360	 5.29	 0.44	 0.44	  5.470	   0.440	-	 0.440	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0605.8-3518
     325	RXC J0605.8-3518     	 0.1410	06 05 52.80	-35 18 02.0	X-ray	 4.14	 0.33	 0.23	  6.370	  0.750	-	 0.720	 5.43	 0.43	 0.30	  7.810	   0.920	-	 0.880	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0605.8-3518
     326	Abell 22             	 0.1420	00 20 42.80	-25 42 37.0	X-ray	 4.17	 1.41	 1.07	 10.030	  2.670	-	 2.670	 5.37	 1.82	 1.38	 12.140	   3.230	-	 3.230	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 22
     327	Abell 1413           	 0.1430	11 55 18.90	+23 24 31.0	X-ray	 5.83	 0.57	 0.35	  6.120	  0.320	-	 0.320	 7.44	 0.73	 0.45	  7.180	   0.380	-	 0.380	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1413
     328	Abell 1413           	 0.1430	11 55 18.90	+23 24 31.0	X-ray	 5.85	 0.67	 0.44	  8.530	  1.180	-	 0.920	 7.59	 0.87	 0.57	 10.120	   1.400	-	 1.090	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1413
     329	Abell 1413           	 0.1430	11 55 18.90	+23 24 31.0	X-ray	 4.44	 0.78	 0.75	  9.310	  2.690	-	 1.770	 5.69	 0.97	 0.94	 11.110	   3.450	-	 2.230	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 1413
     330	Abell 1413           	 0.1430	11 55 18.90	+23 24 31.0	X-ray	 5.82	 0.50	 0.50	  6.500	  0.650	-	 0.650	 7.41	 0.62	 0.62	  7.590	   0.820	-	 0.820	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 1413
     331	Abell 1413           	 0.1430	11 55 18.90	+23 24 31.0	X-ray	 4.42	 0.24	 0.24	 10.670	  1.170	-	 1.170	 5.66	 0.30	 0.30	 12.730	   1.470	-	 1.470	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 1413
     332	Abell 2328           	 0.1470	20 48 10.60	-17 50 38.0	X-ray	 2.23	 1.63	 0.21	  5.960	  1.120	-	 1.120	 2.94	 2.15	 0.28	  7.730	   1.450	-	 1.450	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2328
     333	RXC J0547.6-3152     	 0.1480	05 47 38.20	-31 52 31.0	X-ray	 4.10	 0.59	 1.17	  7.890	  1.510	-	 1.510	 5.28	 0.76	 1.51	  9.550	   1.830	-	 1.830	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J0547.6-3152
     334	RXC J0547.6-3152     	 0.1480	05 47 38.20	-31 52 31.0	X-ray	 4.14	 0.57	 0.63	 11.060	  1.170	-	 1.100	 5.42	 0.75	 0.82	 13.550	   1.430	-	 1.350	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J0547.6-3152
     335	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	X-ray	 2.81	 0.02	 0.28	 15.930	  1.190	-	 1.190	 3.66	 0.03	 0.36	 20.060	   1.500	-	 1.500	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2204
     336	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	WL   	 7.10	 6.20	 6.20	  7.200	  2.700	-	 2.700	 9.00	 7.90	 7.90	  8.300	   3.100	-	 3.100	Corless et al. (2009)               	200            	 0.300	 0.700	 0.700	Abell 2204
     337	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	X-ray	 2.83	 0.32	 0.44	 23.350	  3.160	-	 2.170	 3.76	 0.43	 0.58	 29.830	   4.040	-	 2.770	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2204
     338	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	WL   	 6.30	     	     	       	       	 	      	 8.00	     	     	       	        	 	      	Clowe (2003)                        	200            	 0.300	 0.700	 0.700	Abell 2204
     339	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	WL   	 6.30	     	     	 12.000	  3.000	-	 2.000	 8.00	     	     	 14.000	   3.000	-	 2.000	Clowe & Schneider (2002)            	200            	 0.300	 0.700	      	Abell 2204
     340	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	WL   	 4.30	     	     	       	       	 	      	 5.50	     	     	       	        	 	      	Clowe & Schneider (2001a)           	200            	 0.300	 0.700	 0.700	Abell 2204
     341	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	X-ray	 9.75	 2.92	 2.16	  7.480	  2.630	-	 1.800	12.20	 3.60	 2.67	  8.440	   3.140	-	 2.120	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 2204
     342	Abell 2204           	 0.1520	16 32 46.50	+05 34 14.0	X-ray	 4.59	 0.37	 0.37	 11.800	  1.300	-	 1.300	 5.86	 0.46	 0.46	 14.000	   1.700	-	 1.700	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 2204
     343	Abell 3888           	 0.1530	22 34 31.00	-37 44 06.0	X-ray	 4.28	 2.31	 1.16	 13.420	  4.150	-	 4.150	 5.49	 2.96	 1.49	 16.160	   5.000	-	 5.000	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 3888
     344	Abell 2009           	 0.1530	15 00 20.40	+21 21 43.2	WL   	 5.50	 1.90	 1.90	  4.300	  1.100	-	 1.100	 7.00	 2.40	 2.40	  5.100	   1.400	-	 1.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2009
     345	Abell 2009           	 0.1530	15 00 20.40	+21 21 43.2	WL   	 5.09	 1.85	 1.32	  3.240	  1.010	-	 0.780	 6.59	 2.40	 1.71	  3.860	   1.200	-	 0.930	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2009
     346	Abell 907            	 0.1527	09 58 22.20	-11 03 35.0	X-ray	 2.39	 0.42	 0.39	 11.940	  2.020	-	 2.020	 3.13	 0.55	 0.51	 15.320	   2.590	-	 2.590	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 907
     347	Abell 907            	 0.1527	09 58 22.20	-11 03 35.0	X-ray	 6.25	 1.01	 0.89	  6.540	  0.730	-	 0.720	 8.07	 1.30	 1.15	  7.700	   0.860	-	 0.850	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 907
     348	Abell 907            	 0.1527	09 58 22.20	-11 03 35.0	X-ray	 5.21	 0.60	 0.60	  6.280	  0.630	-	 0.630	 6.61	 0.75	 0.75	  7.370	   0.820	-	 0.820	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 907
     349	Abell 1240           	 0.1590	11 23 32.10	+43 06 32.0	X-ray	 6.38	 0.28	 0.15	  7.340	  0.940	-	 0.810	 8.22	 0.36	 0.19	  8.620	   1.100	-	 0.950	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1240
     350	RXC J2014.8-2430     	 0.1610	20 14 49.70	-24 30 30.0	X-ray	 3.86	 0.15	 0.30	  7.560	  0.530	-	 0.530	 4.96	 0.19	 0.39	  9.180	   0.640	-	 0.640	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RXC J2014.8-2430
     351	RXC J2014.8-2430     	 0.1610	20 14 49.70	-24 30 30.0	X-ray	 3.88	 0.54	 0.67	 10.530	  1.480	-	 1.470	 5.07	 0.71	 0.88	 12.950	   1.820	-	 1.810	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RXC J2014.8-2430
     352	RX J1720.1+2638      	 0.1640	17 20 08.88	+26 38 06.0	WL   	 8.50	 4.10	 4.10	  4.600	  1.400	-	 1.400	10.70	 5.00	 5.00	  5.200	   1.800	-	 1.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J1720.1+2638
     353	RX J1720.1+2638      	 0.1640	17 20 08.88	+26 38 06.0	WL   	 6.81	 4.37	 2.40	  3.500	  1.420	-	 1.050	 8.73	 5.60	 3.08	  4.070	   1.650	-	 1.220	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	RX J1720.1+2638
     354	Abell 3404           	 0.1670	06 45 29.30	-54 13 08.0	X-ray	 4.58	 1.06	 0.96	  7.080	  1.120	-	 1.120	 5.84	 1.35	 1.22	  8.450	   1.340	-	 1.340	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 3404
     355	Abell 1201           	 0.1690	11 12 54.90	+13 26 41.0	X-ray	 6.27	 0.83	 0.81	  5.430	  0.590	-	 0.660	 8.05	 1.07	 1.04	  6.370	   0.690	-	 0.770	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1201
     356	Abell 586            	 0.1710	07 32 22.32	+31 38 02.4	WL   	 1.00	 0.40	 0.40	 22.600	 13.300	-	13.300	 1.40	 0.50	 0.50	 32.900	  21.800	-	21.800	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 586
     357	Abell 586            	 0.1710	07 32 22.32	+31 38 02.4	WL   	 6.55	 2.75	 1.97	  6.340	  2.490	-	 1.790	 8.38	 3.52	 2.52	  7.370	   2.890	-	 2.080	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 586
     358	Abell 1914           	 0.1710	14 26 01.60	+37 49 38.0	WL   	 3.21	 2.26	 2.26	  7.150	  4.310	-	 4.310	 4.13	 2.79	 2.79	  8.770	   4.560	-	 4.560	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 1914
     359	Abell 1914           	 0.1710	14 26 01.60	+37 49 38.0	X-ray	 1.04	 0.36	 0.33	 76.850	  5.810	-	 5.280	 1.44	 0.50	 0.46	113.860	   8.610	-	 7.820	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1914
     360	Abell 2218           	 0.1750	16 35 52.40	+66 12 52.0	X-ray	 6.26	 2.46	 1.48	  4.760	  0.740	-	 0.740	 7.90	 3.10	 1.87	  5.520	   0.860	-	 0.860	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2218
     361	Abell 2218           	 0.1750	16 35 52.40	+66 12 52.0	WL   	 6.86	 1.30	 1.30	 13.870	  3.070	-	 3.070	 8.63	 1.60	 1.60	 15.990	   3.760	-	 3.760	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 2218
     362	Abell 2218           	 0.1750	16 35 52.40	+66 12 52.0	X-ray	 6.33	 2.34	 1.55	  6.460	  0.820	-	 0.830	 8.12	 3.00	 1.99	  7.570	   0.960	-	 0.970	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2218
     363	Abell 2345           	 0.1765	21 27 11.00	-12 09 33.0	WL   	 0.20	 0.10	 0.10	 24.600	  9.300	-	 9.300	 0.30	 0.10	 0.10	 51.600	  25.300	-	25.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2345
     364	Abell 750            	 0.1800	09 09 06.70	+11 01 48.0	WL   	 2.50	 1.40	 1.40	 11.300	  4.300	-	 4.300	 3.20	 1.70	 1.70	 14.300	   6.400	-	 6.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 750
     365	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL   	10.70	 4.50	 2.70	 17.600	  2.000	-	 2.000	13.40	 5.40	 3.30	 19.700	   2.000	-	 2.000	Umetsu & Broadhurst (2008)          	200    /virial 	 0.300	 0.700	 0.700	Abell 1689
     366	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL+SL	10.10	 0.80	 0.70	 18.600	  1.600	-	 1.600	12.70	 1.00	 0.90	 21.000	   1.700	-	 1.700	Umetsu & Broadhurst (2008)          	200    /virial 	 0.300	 0.700	 0.700	Abell 1689
     367	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	SL   	 9.20	 1.20	 1.20	 18.000	  4.000	-	 3.000	11.50	 1.50	 1.40	 20.000	   5.000	-	 0.300	Coe et al. (2010)                   	200    /virial 	 0.300	 0.700	 0.700	Abell 1689
     368	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL   	10.70	 2.85	 2.85	 18.300	  3.700	-	 3.700	13.32	 3.48	 3.48	 20.500	   4.400	-	 4.400	Umetsu et al. (2015)                	200            	 0.300	 0.700	 0.700	Abell 1689
     369	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	SL   	 8.69	 1.26	 1.26	 25.600	  4.400	-	 4.400	10.86	 1.54	 1.54	 29.000	   5.300	-	 5.300	Umetsu et al. (2015)                	200            	 0.300	 0.700	 0.700	Abell 1689
     370	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL+SL	10.30	 2.52	 2.52	 21.300	  3.600	-	 3.600	12.83	 3.08	 3.08	 23.900	   4.400	-	 4.400	Umetsu et al. (2015)                	200            	 0.300	 0.700	 0.700	Abell 1689
     371	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	X-ray	 8.31	 0.64	 0.63	  7.360	  0.440	-	 0.440	10.40	 0.80	 0.79	  8.360	   0.500	-	 0.500	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1689
     372	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL   	15.40	 9.00	 9.00	 13.100	  2.800	-	 2.800	19.10	11.20	11.20	 14.400	   3.100	-	 3.100	Corless et al. (2009)               	200            	 0.300	 0.700	 0.700	Abell 1689
     373	Abell 1689           	 0.1800	13 11 29.50	-01 20 17.0	WL   	12.56	 3.86	 2.66	 13.990	  2.310	-	 2.060	15.60	 4.80	 3.30	 15.570	   2.570	-	 2.290	Umetsu et al. (2009)                	Virial         	 0.300	 0.700	 0.700	Abell 1689
