#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
     418	NGC0100    	coreNFW-LCDM	 0.47	 0.11	 0.00	 0.00	 13.36	 1.85	89.1	 0.8	 72.50	  4.03	 10.43	  2.07	  9.52	    1.96	-2.13	  0.28	11.08	 0.07	 0.00	 0.00	 0.20
     419	NGC0100    	Lucky13-Flat	 0.48	 0.12	 0.00	 0.00	 13.22	 3.72	88.9	 0.8	 78.20	 17.07	 19.04	  8.05	  5.63	    2.68	-1.37	  0.69	11.18	 0.28	 0.00	 0.00	 0.17
     420	NGC0100    	Lucky13-LCDM	 0.48	 0.09	 0.00	 0.00	 18.91	 2.66	89.0	 0.8	 83.04	  5.74	 12.55	  2.44	  9.06	    1.87	-1.81	  0.29	11.26	 0.09	 0.00	 0.00	 0.24
     421	NGC0247    	pISO-Flat   	 0.46	 0.11	 0.00	 0.00	  3.79	 0.19	75.0	 2.9	 88.20	  3.52	 71.96	  5.11	  1.68	    0.14	-1.28	  0.12	11.34	 0.05	 0.00	 0.00	 2.38
     422	NGC0247    	Burkert-Flat	 2.12	 0.12	 0.00	 0.00	  3.91	 0.18	76.3	 2.8	486.95	116.15	  3.98	  0.53	167.65	   45.74	-3.13	  0.47	13.57	 0.31	 0.00	 0.00	 2.06
     423	NGC0247    	NFW-Flat    	 0.61	 0.16	 0.00	 0.00	  3.72	 0.19	74.3	 3.0	 96.59	  7.52	  5.72	  0.65	 23.15	    3.18	-2.76	  0.21	11.46	 0.10	 0.00	 0.00	 2.03
     424	NGC0247    	NFW-LCDM    	 0.66	 0.12	 0.00	 0.00	  3.74	 0.18	74.5	 2.9	 90.75	  4.26	  5.92	  0.55	 20.98	    2.19	-2.72	  0.15	11.38	 0.06	 0.00	 0.00	 2.03
     425	NGC0247    	Einasto-Flat	 0.51	 0.13	 0.00	 0.00	  3.70	 0.19	74.4	 3.0	 80.06	 16.85	  7.22	  1.70	 15.19	    4.80	-3.07	  0.50	11.21	 0.27	 0.27	 0.06	 2.03
     426	NGC0247    	Einasto-LCDM	 0.46	 0.11	 0.00	 0.00	  3.64	 0.19	74.1	 3.0	 81.98	  4.96	  7.29	  0.81	 15.40	    1.94	-3.06	  0.18	11.24	 0.08	 0.27	 0.02	 2.03
     427	NGC0247    	DC14-Flat   	 0.50	 0.13	 0.00	 0.00	  3.73	 0.19	74.1	 3.0	 79.01	  4.22	 12.27	  2.25	  8.82	    1.69	-2.22	  0.20	11.20	 0.07	 0.00	 0.00	 1.89
     428	NGC0247    	DC14-LCDM   	 0.58	 0.12	 0.00	 0.00	  3.74	 0.18	74.0	 3.0	 81.75	  3.55	 10.90	  1.75	 10.28	    1.71	-2.32	  0.17	11.24	 0.06	 0.00	 0.00	 1.89
     429	NGC0247    	coreNFW-Flat	 1.64	 0.13	 0.00	 0.00	  3.88	 0.19	75.3	 2.9	175.73	 40.00	  1.04	  0.95	231.46	  217.08	-4.26	  1.36	12.24	 0.30	 0.00	 0.00	 2.08
     430	NGC0247    	coreNFW-LCDM	 1.52	 0.13	 0.00	 0.00	  3.79	 0.18	74.6	 2.9	 96.94	  6.61	  3.45	  0.51	 38.47	    6.22	-3.25	  0.23	11.46	 0.09	 0.00	 0.00	 2.57
     431	NGC0247    	Lucky13-Flat	 0.48	 0.12	 0.00	 0.00	  3.78	 0.19	74.8	 3.0	 63.00	  2.25	 24.25	  1.42	  3.56	    0.24	-1.11	  0.10	10.90	 0.05	 0.00	 0.00	 2.48
     432	NGC0247    	Lucky13-LCDM	 0.30	 0.06	 0.00	 0.00	  3.80	 0.18	73.2	 3.0	 67.19	  1.68	 24.73	  1.20	  3.72	    0.20	-1.09	  0.08	10.99	 0.03	 0.00	 0.00	 2.52
     433	NGC0289    	pISO-Flat   	 0.45	 0.09	 0.00	 0.00	 26.40	 4.65	50.5	 4.7	135.39	 14.83	 36.45	256.27	  5.09	   35.78	-1.86	  9.70	11.90	 0.14	 0.00	 0.00	 1.97
     434	NGC0289    	Burkert-Flat	 0.56	 0.10	 0.00	 0.00	 26.19	 4.08	50.2	 4.3	116.29	  9.30	  7.99	  1.71	 19.93	    4.56	-2.45	  0.32	11.70	 0.10	 0.00	 0.00	 2.06
     435	NGC0289    	NFW-Flat    	 0.48	 0.09	 0.00	 0.00	 25.76	 4.16	49.0	 4.4	126.12	 10.69	  5.21	  1.65	 33.16	   10.87	-2.85	  0.45	11.81	 0.11	 0.00	 0.00	 1.95
     436	NGC0289    	NFW-LCDM    	 0.53	 0.10	 0.00	 0.00	 21.53	 3.27	48.1	 4.1	126.55	 10.15	  6.96	  1.32	 24.90	    5.13	-2.56	  0.29	11.81	 0.10	 0.00	 0.00	 2.06
     437	NGC0289    	Einasto-Flat	 0.49	 0.11	 0.00	 0.00	 25.42	 4.41	49.1	 4.5	122.94	 16.53	  5.16	  2.64	 32.61	   17.26	-3.44	  0.74	11.77	 0.18	 0.27	 0.26	 2.06
     438	NGC0289    	Einasto-LCDM	 0.46	 0.10	 0.00	 0.00	 20.55	 3.41	47.9	 4.4	130.45	 12.47	  8.13	  1.99	 21.98	    5.77	-3.06	  0.37	11.85	 0.12	 0.14	 0.04	 2.06
     439	NGC0289    	DC14-Flat   	 0.44	 0.08	 0.00	 0.00	 24.61	 4.15	48.9	 4.5	133.94	 11.97	  3.87	  2.34	 47.40	   28.99	-2.88	  0.61	11.88	 0.12	 0.00	 0.00	 1.98
     440	NGC0289    	DC14-LCDM   	 0.49	 0.10	 0.00	 0.00	 19.81	 3.00	46.9	 4.3	132.30	 11.14	  8.62	  1.85	 21.02	    4.83	-2.27	  0.25	11.87	 0.11	 0.00	 0.00	 2.14
     441	NGC0289    	coreNFW-Flat	 0.49	 0.10	 0.00	 0.00	 24.90	 4.15	49.6	 4.6	125.03	 11.40	  5.27	  1.55	 32.48	   10.01	-2.84	  0.43	11.79	 0.12	 0.00	 0.00	 1.95
     442	NGC0289    	coreNFW-LCDM	 0.55	 0.10	 0.00	 0.00	 21.46	 3.24	48.4	 4.1	126.61	  9.89	  6.67	  1.24	 26.01	    5.26	-2.60	  0.29	11.81	 0.10	 0.00	 0.00	 2.05
     443	NGC0289    	Lucky13-Flat	 0.51	 0.09	 0.00	 0.00	 26.13	 4.09	49.8	 4.4	121.51	  9.96	 10.65	  2.85	 15.64	    4.37	-1.97	  0.39	11.76	 0.11	 0.00	 0.00	 1.97
     444	NGC0289    	Lucky13-LCDM	 0.57	 0.09	 0.00	 0.00	 24.72	 3.26	49.3	 3.8	126.00	  8.74	 10.14	  1.82	 17.03	    3.28	-2.02	  0.27	11.80	 0.09	 0.00	 0.00	 2.04
     445	NGC0300    	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	  2.08	 0.10	39.4	10.0	107.99	 35.10	 73.36	 35.44	  2.02	    1.17	-1.27	  0.89	11.60	 0.42	 0.00	 0.00	 0.47
     446	NGC0300    	Burkert-Flat	 0.57	 0.14	 0.00	 0.00	  2.08	 0.10	46.3	 9.3	 58.41	  9.30	 19.34	  5.92	  4.14	    1.43	-1.49	  0.50	10.80	 0.21	 0.00	 0.00	 0.62
     447	NGC0300    	NFW-Flat    	 0.50	 0.12	 0.00	 0.00	  2.09	 0.10	42.2	 9.9	 97.20	 20.59	  6.53	  3.09	 20.40	   10.58	-2.62	  0.74	11.47	 0.28	 0.00	 0.00	 0.74
     448	NGC0300    	NFW-LCDM    	 0.41	 0.08	 0.00	 0.00	  2.07	 0.10	51.9	 5.0	 74.26	  4.75	  6.69	  0.97	 15.21	    2.42	-2.60	  0.23	11.12	 0.08	 0.00	 0.00	 0.93
     449	NGC0300    	Einasto-Flat	 0.52	 0.14	 0.00	 0.00	  2.09	 0.10	39.6	 9.4	 62.55	 20.75	 10.02	  2.99	  8.55	    3.82	-2.54	  0.74	10.89	 0.43	 0.46	 0.17	 0.93
     450	NGC0300    	Einasto-LCDM	 0.48	 0.12	 0.00	 0.00	  2.05	 0.10	38.2	 5.8	 72.09	  4.77	 10.04	  1.93	  9.83	    2.00	-2.62	  0.28	11.08	 0.09	 0.35	 0.05	 0.93
     451	NGC0300    	DC14-Flat   	 0.51	 0.13	 0.00	 0.00	  2.08	 0.10	41.6	 7.0	 71.70	  7.63	 20.27	  6.23	  4.85	    1.58	-1.82	  0.34	11.07	 0.14	 0.00	 0.00	 0.50
     452	NGC0300    	DC14-LCDM   	 0.62	 0.11	 0.00	 0.00	  2.12	 0.10	48.9	 5.2	 71.89	  4.56	 12.59	  2.76	  7.82	    1.78	-2.28	  0.24	11.07	 0.08	 0.00	 0.00	 0.56
     453	NGC0300    	coreNFW-Flat	 0.53	 0.12	 0.00	 0.00	  2.08	 0.10	43.5	 6.7	 76.46	 11.22	  9.35	  3.08	 11.21	    4.04	-2.25	  0.51	11.15	 0.19	 0.00	 0.00	 0.47
     454	NGC0300    	coreNFW-LCDM	 0.50	 0.10	 0.00	 0.00	  2.08	 0.10	46.2	 4.4	 72.71	  4.65	  9.03	  1.74	 11.03	    2.24	-2.29	  0.28	11.09	 0.08	 0.00	 0.00	 0.48
     455	NGC0300    	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	  2.06	 0.10	40.2	 9.4	 73.20	 13.63	 25.25	  7.83	  3.97	    1.44	-1.06	  0.53	11.10	 0.24	 0.00	 0.00	 0.47
     456	NGC0300    	Lucky13-LCDM	 0.73	 0.11	 0.00	 0.00	  2.14	 0.10	56.1	 6.3	 75.12	  4.83	 11.55	  3.05	  8.91	    2.42	-1.89	  0.37	11.13	 0.08	 0.00	 0.00	 0.57
     457	NGC0801    	pISO-Flat   	 0.64	 0.06	 0.00	 0.00	 82.50	 7.34	80.1	 1.0	205.19	 19.23	 11.56	  2.98	 24.32	    6.66	-2.82	  0.40	12.44	 0.12	 0.00	 0.00	 7.07
     458	NGC0801    	Burkert-Flat	 0.63	 0.06	 0.00	 0.00	 84.16	 7.30	80.1	 1.0	168.64	 20.16	  5.67	  0.88	 40.74	    7.99	-2.80	  0.30	12.18	 0.16	 0.00	 0.00	 7.10
     459	NGC0801    	NFW-Flat    	 0.61	 0.06	 0.00	 0.00	 83.63	 7.20	80.0	 1.0	260.74	 35.50	  1.17	  0.58	304.52	  156.71	-4.17	  0.74	12.75	 0.18	 0.00	 0.00	 6.77
     460	NGC0801    	NFW-LCDM    	 0.72	 0.08	 0.00	 0.00	 66.50	 6.77	79.9	 1.0	189.32	 19.58	  3.25	  0.74	 79.70	   19.86	-3.30	  0.36	12.33	 0.13	 0.00	 0.00	 7.15
     461	NGC0801    	Einasto-Flat	 0.61	 0.06	 0.00	 0.00	 83.10	 7.32	80.3	 1.0	245.06	 50.96	  1.06	  0.86	316.58	  265.64	-4.86	  1.21	12.67	 0.27	 0.21	 0.30	 7.15
     462	NGC0801    	Einasto-LCDM	 0.75	 0.10	 0.00	 0.00	 65.61	 6.89	80.1	 1.0	189.76	 36.62	  3.19	  1.20	 81.45	   34.43	-3.91	  0.62	12.34	 0.25	 0.27	 0.10	 7.15
     463	NGC0801    	DC14-Flat   	 0.61	 0.07	 0.00	 0.00	 83.28	 7.04	80.0	 1.0	271.08	 55.68	  1.24	  0.52	298.73	  139.18	-4.19	  0.54	12.80	 0.27	 0.00	 0.00	 6.78
     464	NGC0801    	DC14-LCDM   	 0.54	 0.11	 0.00	 0.00	 61.27	 7.03	80.0	 1.0	152.38	  7.39	  8.96	  2.51	 23.29	    6.61	-2.06	  0.28	12.05	 0.06	 0.00	 0.00	10.50
     465	NGC0801    	coreNFW-Flat	 0.62	 0.06	 0.00	 0.00	 82.53	 7.25	80.0	 1.0	278.24	 35.30	  1.03	  0.56	368.26	  204.47	-4.27	  0.80	12.84	 0.17	 0.00	 0.00	 6.75
     466	NGC0801    	coreNFW-LCDM	 0.74	 0.08	 0.00	 0.00	 66.86	 6.68	79.9	 1.0	189.82	 19.89	  3.12	  0.65	 83.29	   19.45	-3.34	  0.34	12.34	 0.14	 0.00	 0.00	 7.08
     467	NGC0801    	Lucky13-Flat	 0.63	 0.06	 0.00	 0.00	 83.90	 7.26	80.0	 1.0	188.79	 29.91	  5.78	  1.20	 44.71	   11.65	-2.56	  0.41	12.33	 0.21	 0.00	 0.00	 6.95
     468	NGC0801    	Lucky13-LCDM	 0.70	 0.07	 0.00	 0.00	 75.99	 6.68	80.0	 1.0	233.38	 57.41	  5.11	  1.01	 62.59	   19.77	-2.68	  0.53	12.61	 0.32	 0.00	 0.00	 7.20
     469	NGC0891    	pISO-Flat   	 0.27	 0.03	 0.60	 0.07	  9.36	 0.49	89.9	 0.6	206.39	  3.55	122.48	 26.08	  2.31	    0.49	-0.82	  0.29	12.45	 0.02	 0.00	 0.00	 4.24
     470	NGC0891    	Burkert-Flat	 0.24	 0.03	 0.62	 0.07	  9.34	 0.49	89.8	 0.6	110.97	  2.43	 35.30	  3.20	  4.31	    0.40	-0.81	  0.13	11.64	 0.03	 0.00	 0.00	 2.01
     471	NGC0891    	NFW-Flat    	 0.21	 0.03	 0.53	 0.07	  9.30	 0.49	89.9	 0.6	127.04	  4.74	 22.21	  3.06	  7.84	    1.12	-1.31	  0.19	11.82	 0.05	 0.00	 0.00	 3.46
     472	NGC0891    	NFW-LCDM    	 0.25	 0.03	 0.54	 0.07	  9.54	 0.48	89.9	 0.6	137.81	  6.55	 16.73	  2.47	 11.29	    1.75	-1.62	  0.21	11.92	 0.06	 0.00	 0.00	 4.39
     473	NGC0891    	Einasto-Flat	 0.26	 0.03	 0.64	 0.07	  9.60	 0.49	90.0	 0.6	 71.98	  2.24	 13.53	  1.06	  7.29	    0.61	-1.78	  0.13	11.07	 0.04	 1.42	 0.27	 4.39
     474	NGC0891    	Einasto-LCDM	 0.22	 0.03	 0.55	 0.07	  9.38	 0.49	89.9	 0.6	115.44	 12.85	 17.58	  2.34	  9.00	    1.56	-2.02	  0.28	11.69	 0.15	 0.28	 0.05	 4.39
     475	NGC0891    	DC14-Flat   	 0.20	 0.03	 0.54	 0.07	  9.09	 0.49	89.9	 0.6	136.78	  5.46	 26.14	  4.50	  7.17	    1.27	-1.25	  0.18	11.91	 0.05	 0.00	 0.00	 3.65
     476	NGC0891    	DC14-LCDM   	 0.24	 0.03	 0.51	 0.07	  9.56	 0.48	90.0	 0.6	146.60	  5.39	 19.24	  2.70	 10.44	    1.51	-1.57	  0.15	12.00	 0.05	 0.00	 0.00	 4.48
     477	NGC0891    	coreNFW-Flat	 0.22	 0.03	 0.64	 0.07	  9.42	 0.49	89.8	 0.6	108.26	  3.39	 37.54	  6.52	  3.95	    0.70	-0.71	  0.23	11.61	 0.04	 0.00	 0.00	 1.55
     478	NGC0891    	coreNFW-LCDM	 0.28	 0.03	 0.61	 0.07	  9.74	 0.48	89.9	 0.6	122.08	  5.83	 21.66	  3.45	  7.72	    1.28	-1.33	  0.23	11.76	 0.06	 0.00	 0.00	 2.98
     479	NGC0891    	Lucky13-Flat	 0.22	 0.03	 0.59	 0.07	  9.43	 0.49	89.9	 0.6	121.31	  3.52	 45.48	  5.19	  3.65	    0.43	-0.41	  0.16	11.75	 0.04	 0.00	 0.00	 2.84
     480	NGC0891    	Lucky13-LCDM	 0.28	 0.03	 0.58	 0.07	  9.69	 0.47	89.9	 0.6	130.22	  4.76	 34.62	  3.77	  5.15	    0.59	-0.72	  0.16	11.85	 0.05	 0.00	 0.00	 3.95
     481	NGC1003    	pISO-Flat   	 0.77	 0.13	 0.00	 0.00	 12.65	 2.09	68.2	 4.9	118.64	  4.93	 21.38	  5.65	  7.60	    2.03	-2.31	  0.37	11.73	 0.05	 0.00	 0.00	 2.67
     482	NGC1003    	Burkert-Flat	 0.74	 0.12	 0.00	 0.00	 14.92	 2.21	68.5	 4.7	 96.10	  4.35	  7.14	  1.16	 18.43	    3.10	-2.57	  0.23	11.45	 0.06	 0.00	 0.00	 3.01
     483	NGC1003    	NFW-Flat    	 0.65	 0.11	 0.00	 0.00	 11.95	 2.10	67.0	 5.0	114.44	  7.14	  3.72	  0.93	 42.18	   10.90	-3.18	  0.36	11.68	 0.08	 0.00	 0.00	 2.48
     484	NGC1003    	NFW-LCDM    	 0.66	 0.10	 0.00	 0.00	 10.61	 1.66	68.6	 4.9	106.38	  6.03	  4.66	  0.89	 31.27	    6.23	-2.96	  0.28	11.58	 0.07	 0.00	 0.00	 2.54
     485	NGC1003    	Einasto-Flat	 0.64	 0.11	 0.00	 0.00	 10.87	 2.18	67.8	 5.0	130.88	 12.66	  2.14	  1.11	 83.64	   44.00	-4.30	  0.73	11.85	 0.13	 0.15	 0.07	 2.54
     486	NGC1003    	Einasto-LCDM	 0.82	 0.15	 0.00	 0.00	  9.92	 1.84	68.6	 4.8	 94.49	  6.87	  5.48	  1.01	 23.64	    4.68	-3.33	  0.28	11.43	 0.09	 0.36	 0.05	 2.54
     487	NGC1003    	DC14-Flat   	 0.65	 0.11	 0.00	 0.00	 14.17	 2.00	68.2	 4.7	105.27	  5.22	  5.95	  1.26	 24.25	    5.27	-3.00	  0.22	11.57	 0.06	 0.00	 0.00	 2.64
     488	NGC1003    	DC14-LCDM   	 0.69	 0.10	 0.00	 0.00	 13.00	 1.60	69.0	 4.8	102.41	  4.83	  6.70	  1.09	 20.94	    3.56	-2.89	  0.18	11.53	 0.06	 0.00	 0.00	 2.64
     489	NGC1003    	coreNFW-Flat	 0.69	 0.12	 0.00	 0.00	 11.90	 1.98	67.3	 4.9	115.76	  6.79	  3.58	  0.81	 44.33	   10.32	-3.21	  0.32	11.69	 0.08	 0.00	 0.00	 2.39
     490	NGC1003    	coreNFW-LCDM	 0.72	 0.12	 0.00	 0.00	 10.55	 1.62	68.2	 5.0	106.37	  6.00	  4.67	  0.83	 31.23	    5.83	-2.96	  0.26	11.58	 0.07	 0.00	 0.00	 2.46
     491	NGC1003    	Lucky13-Flat	 0.73	 0.12	 0.00	 0.00	 13.51	 2.07	67.7	 4.8	103.80	  5.08	  8.88	  1.64	 16.02	    3.06	-2.16	  0.26	11.55	 0.06	 0.00	 0.00	 2.63
     492	NGC1003    	Lucky13-LCDM	 0.69	 0.09	 0.00	 0.00	 14.35	 1.89	69.0	 4.8	103.73	  4.82	  8.19	  1.26	 17.36	    2.80	-2.24	  0.22	11.55	 0.06	 0.00	 0.00	 2.65
     493	NGC1090    	pISO-Flat   	 0.53	 0.10	 0.00	 0.00	 30.37	 6.18	63.7	 3.0	147.40	  5.36	 96.42	 35.18	  2.09	    0.77	-1.03	  0.51	12.01	 0.05	 0.00	 0.00	 1.54
     494	NGC1090    	Burkert-Flat	 0.36	 0.09	 0.00	 0.00	 24.77	 8.29	63.0	 3.0	 89.86	  7.83	 39.34	 19.13	  3.13	    1.55	-0.69	  0.66	11.36	 0.11	 0.00	 0.00	 1.41
     495	NGC1090    	NFW-Flat    	 0.51	 0.10	 0.00	 0.00	 31.90	 6.61	63.5	 3.0	113.10	  7.60	 10.78	  4.01	 14.37	    5.43	-2.10	  0.51	11.66	 0.09	 0.00	 0.00	 2.73
     496	NGC1090    	NFW-LCDM    	 0.54	 0.10	 0.00	 0.00	 32.52	 4.89	63.9	 2.9	117.06	  6.85	  9.11	  2.14	 17.61	    4.27	-2.28	  0.33	11.71	 0.08	 0.00	 0.00	 2.77
     497	NGC1090    	Einasto-Flat	 0.43	 0.11	 0.00	 0.00	 24.03	 7.32	63.8	 3.0	 77.69	  8.45	 16.77	  5.05	  6.35	    2.03	-1.91	  0.44	11.17	 0.14	 0.42	 0.06	 2.77
     498	NGC1090    	Einasto-LCDM	 0.51	 0.13	 0.00	 0.00	 29.32	 5.05	62.7	 3.1	102.76	 10.55	 11.73	  3.08	 12.00	    3.39	-2.52	  0.39	11.54	 0.13	 0.27	 0.04	 2.77
     499	NGC1090    	DC14-Flat   	 0.43	 0.11	 0.00	 0.00	  8.49	 2.60	63.8	 3.1	 85.76	  4.77	126.07	 53.78	  0.93	    0.40	 0.08	  0.42	11.30	 0.07	 0.00	 0.00	 0.84
     500	NGC1090    	DC14-LCDM   	 0.69	 0.12	 0.00	 0.00	 25.74	 3.18	63.5	 3.0	127.66	  8.98	 10.20	  3.25	 17.15	    5.60	-2.23	  0.33	11.82	 0.09	 0.00	 0.00	 3.09
     501	NGC1090    	coreNFW-Flat	 0.52	 0.11	 0.00	 0.00	 39.23	 8.11	63.8	 3.0	105.76	 10.38	 10.75	 24.34	 13.48	   30.56	-2.10	  3.00	11.58	 0.13	 0.00	 0.00	 2.33
     502	NGC1090    	coreNFW-LCDM	 0.64	 0.12	 0.00	 0.00	 34.75	 5.29	63.6	 2.9	116.53	  7.29	  7.78	  1.52	 20.52	    4.21	-2.44	  0.28	11.70	 0.08	 0.00	 0.00	 2.44
     503	NGC1090    	Lucky13-Flat	 0.42	 0.10	 0.00	 0.00	 23.11	 7.30	63.2	 3.0	 95.28	  7.71	 49.20	 22.87	  2.65	    1.25	-0.32	  0.63	11.44	 0.11	 0.00	 0.00	 1.26
     504	NGC1090    	Lucky13-LCDM	 0.52	 0.11	 0.00	 0.00	 40.04	 5.30	63.5	 2.9	112.44	  6.74	 16.38	  4.70	  9.40	    2.76	-1.53	  0.40	11.66	 0.08	 0.00	 0.00	 2.16
     505	NGC1705    	pISO-Flat   	 0.49	 0.12	 0.00	 0.00	  5.72	 0.29	79.6	 7.9	 70.08	  4.10	695.07	177.85	  0.14	    0.04	 0.68	  0.37	11.04	 0.08	 0.00	 0.00	 0.08
     506	NGC1705    	Burkert-Flat	 0.54	 0.15	 0.00	 0.00	  5.78	 0.29	81.2	 7.9	 34.38	  2.12	 60.58	 11.83	  0.78	    0.16	-0.18	  0.28	10.11	 0.08	 0.00	 0.00	 0.84
     507	NGC1705    	NFW-Flat    	 0.51	 0.13	 0.00	 0.00	  5.73	 0.29	79.6	 8.2	 39.32	  3.20	 37.02	  8.58	  1.46	    0.36	-0.73	  0.34	10.29	 0.11	 0.00	 0.00	 0.15
     508	NGC1705    	NFW-LCDM    	 0.82	 0.23	 0.00	 0.00	  5.97	 0.28	83.9	 5.8	 58.92	  4.03	 14.57	  2.69	  5.54	    1.09	-1.77	  0.27	10.81	 0.09	 0.00	 0.00	 1.33
     509	NGC1705    	Einasto-Flat	 0.50	 0.13	 0.00	 0.00	  5.79	 0.30	79.2	 8.3	 45.12	 12.95	 32.87	 16.65	  1.88	    1.09	-1.57	  0.88	10.47	 0.37	 0.13	 0.08	 1.33
     510	NGC1705    	Einasto-LCDM	 0.54	 0.14	 0.00	 0.00	  5.79	 0.28	82.4	 6.7	 56.95	  3.28	 19.16	  4.07	  4.07	    0.90	-2.21	  0.30	10.77	 0.08	 0.11	 0.02	 1.33
     511	NGC1705    	DC14-Flat   	 0.56	 0.13	 0.00	 0.00	  5.74	 0.29	81.6	 7.7	 38.86	  2.48	 68.08	 17.82	  0.78	    0.21	-0.46	  0.27	10.27	 0.08	 0.00	 0.00	 0.39
     512	NGC1705    	DC14-LCDM   	 1.58	 0.26	 0.00	 0.00	  6.23	 0.27	85.4	 4.8	 61.86	  3.93	 20.26	  3.15	  4.18	    0.70	-1.81	  0.18	10.88	 0.08	 0.00	 0.00	 0.91
     513	NGC1705    	coreNFW-Flat	 0.57	 0.15	 0.00	 0.00	  5.77	 0.29	82.1	 7.6	 36.71	  3.40	 44.49	 15.50	  1.13	    0.41	-0.51	  0.49	10.20	 0.12	 0.00	 0.00	 0.79
     514	NGC1705    	coreNFW-LCDM	 1.08	 0.23	 0.00	 0.00	  6.02	 0.28	84.4	 5.2	 61.92	  3.85	 12.53	  2.01	  6.77	    1.17	-1.94	  0.24	10.88	 0.08	 0.00	 0.00	 1.20
