#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
NGC 2770  	SA\underline{B}(rs)c sp                      	SAB(rs)bc                                    	 4.5	 0.62	SAB(rs)b\underline{c} sp                                 	M	137.39009	+33.12341
NGC 2775  	SA(r,l)0^+^                                  	SA(l,\underline{r}s)0/a                      	-0.5	 0.00	SA(l,\underline{r}s)\underline{0}/a                      	 	137.58380	+07.03792
UGC 4834  	IB(s)m                                       	IB(s)m                                       	10.0	 1.00	IB(s)m                                                   	 	137.96225	+34.96347
UGC 4824  	SB(rs)d                                      	SB(rs)cd                                     	 6.5	 1.00	SB(rs)c\underline{d}                                     	M	137.88989	+51.25429
NGC 2768  	E6                                           	E6                                           	-5.0	     	E6                                                       	 	137.90627	+60.03721
UGC 4837  	dIm                                          	Im                                           	10.0	     	Im                                                       	 	138.03999	+35.53157
NGC 2776  	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	138.06055	+44.95489
UGC 4845  	SB(s)c sp                                    	SAB(s)d                                      	 6.0	 0.75	SA\underline{B}(s)cd sp                                  	G	138.10763	+09.95550
NGC 2780  	(R')SB(rs)a                                  	(RL)SB(rs)a                                  	 1.0	 1.00	(R'L)SB(rs)a                                             	G	138.18486	+34.92551
NGC 2732  	S0^-^ sp/ E(d)6                              	S0^-^ sp/ E(d)6                              	-3.0	     	S0^-^ sp / E(d)6                                         	 	138.35320	+79.18738
NGC 2748  	(R')SAB(r)bc + PR?                           	SAB(rs)bc                                    	 4.0	 0.50	(R')SAB(\underline{r}s)bc                                	M	138.42932	+76.47534
UGC 4871  	dIBm                                         	S\underline{A}B(s)dm                         	 9.0	 0.62	SAB(s:)m                                                 	F	138.73458	+39.26247
NGC 2782  	SA(rs,nr)a pec (shells)                      	SA(rs,nr)a pec (shells)                      	 1.0	 0.00	SA(rs,nr)a pec                                           	 	138.52133	+40.11380
UGC 4867  	SB(r\underline{s})d                          	SA\underline{B}(r\underline{s})cd            	 6.5	 0.88	SB(r\underline{s})c\underline{d}                         	G	138.67975	+40.87953
UGC 4841  	SAB(s)cd                                     	S\underline{A}B(s)cd                         	 6.0	 0.38	SAB(s)cd                                                 	M	138.69965	+74.23248
UGC 4878  	Sm: sp                                       	SB(s)m sp                                    	 9.0	 1.00	SB:(s:)m: sp                                             	 	138.86180	+31.40152
NGC 2793  	RG pec                                       	RG pec                                       	    	     	RG pec                                                   	 	139.19279	+34.43167
NGC 2798  	S\underline{A}B(s)a pec                      	SAB(s)a pec                                  	 1.0	 0.38	SAB(s)a pec                                              	 	139.34564	+41.99971
NGC 2799  	SB(s)dm? pec sp                              	Sdm sp pec                                   	 8.0	 1.00	SB:(s:)dm sp pec                                         	 	139.37932	+41.99414
IC 529    	SAB(s)cd                                     	SA(s)c                                       	 5.5	 0.25	S\underline{A}B(s)\underline{c}d                         	M	139.63661	+73.75932
UGC 4922  	SAB(rs)cd                                    	SAB(r'l)cd                                   	 6.0	 0.50	SAB(rs)cd                                                	M	139.65295	+47.87206
NGC 2787  	(L)SB_a(r,bl)0^o^                            	SB_a(r,bl)0^o^                               	-2.0	 1.00	(L)SB_a_(r,bl)0^o^                                       	 	139.82724	+69.20340
IC 2461   	S0^o^ / E(d)5 sp                             	S0^o^[b] sp / E5                             	-2.0	     	S0^o^[b] sp / E5                                         	 	139.99179	+37.19105
UGC 4953  	Sm: sp                                       	Im: sp                                       	 9.5	     	S/Im: sp                                                 	 	140.10720	+36.24595
NGC 2805  	(R)S\underline{A}B(r\underline{s})c pec      	(R_pec_)SA(s)c                               	 5.0	 0.12	(R)SA(s)c pec                                            	M	140.08502	+64.10277
UGC 4970  	Sd sp                                        	Scd spw / E(d)8                              	 6.5	     	Sc\underline{d} spw / E(d)8                              	 	140.43991	+39.52483
NGC 2814  	S pec sp                                     	Im sp                                        	10.0	     	Im sp                                                    	 	140.29802	+64.25326
PGC 28380 	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	G	147.84250	-12.62333
NGC 2820  	Sc sp                                        	Scd sp                                       	 5.5	     	S\underline{c}d sp                                       	 	140.43985	+64.25802
NGC 2844  	SA(r)0^+^                                    	SA(r)0/a                                     	-0.5	 0.00	SA(r)\underline{0}/a                                     	 	140.45010	+40.15122
NGC 2841  	S\underline{A}B(r)a                          	(RL)S\underline{A}B(rs,rl)a                  	 1.0	 0.25	(RL)S\underline{A}B(\underline{r}s,rl)a                  	M	140.51106	+50.97648
UGC 4982  	SA(r)c                                       	SAbc:                                        	 4.5	 0.00	SA(r:)b\underline{c}:                                    	M	140.76283	+44.55488
UGC 4988  	SAB(s)m ,N                                   	IABm pec                                     	 9.5	 0.50	S/IAB(s:)m pec                                           	 	140.81381	+34.73444
NGC 2854  	SAB(r)a                                      	SAB(r)ab                                     	 1.5	 0.50	SAB(r)\underline{a}b                                     	G	141.01315	+49.20435
NGC 2856  	SAB(r)a:                                     	(RL)SAB(rs,r)a pec                           	 1.0	 0.50	(RL)SAB(rs,r)a: pec                                      	G	141.06670	+49.24910
NGC 2859  	(R)SAB_a(rl,bl,nl,nb?)0^+^                   	(R)SAB_a(rl,bl,nl,nb)0^+^                    	-1.0	 0.50	(R)SAB_a_(rl,bl,nl,nb)0^+^                               	 	141.07729	+34.51338
UGC 5004  	dIBm / dSB0                                  	SABm                                         	 9.5	 0.75	S/IA\underline{B}m                                       	 	141.14208	+34.65933
UGC 5015  	SAB(s)m                                      	IABm                                         	 9.5	 0.50	S/IAB(s:)m                                               	 	141.45008	+34.27711
PGC 26749 	SB(s)cd                                      	SB(s)c pec                                   	 5.5	 1.00	SB(s)\underline{c}d pec                                  	 	141.49101	+34.63003
UGC 5020  	SABm                                         	Sd: sp                                       	 8.0	 0.50	SAB:dm: sp                                               	 	141.50642	+34.65356
NGC 2882  	SA(rs)b                                      	SA(rs)b                                      	 3.0	 0.00	SA(rs)b                                                  	M	141.65051	+07.95455
UGC 5047  	SBm sp                                       	dIm: sp / Sph                                	 9.5	 1.00	S/IB:m: sp / Sph                                         	 	142.20687	+51.56050
NGC 2894  	(R:)SAB:0^-^                                 	SA0^o^                                       	-2.5	 0.25	(R:)S\underline{A}B0^{-/o}^:                             	 	142.37604	+07.71882
NGC 2893  	(RL)SAB(l)0^+^                               	(R_1_L)SAB(l)0/a                             	-0.5	 0.50	(R_1_L)SAB(l)\underline{0}/a                             	 	142.57062	+29.53999
UGC 5050  	S sp pec                                     	Sdm: sp pec / E(d)5-6                        	 8.0	     	Sdm: sp pec / E(d)5-6                                    	 	142.79575	+76.46503
UGC 5076  	dE1 /Sph                                     	dIm / Sph                                    	11.0	     	dE1 (dIm) / Sph                                          	 	143.15287	+51.87222
NGC 2906  	SA(rs)ab or SA(rs)b /Sph                     	SA(rs)a                                      	 1.5	 0.00	SA(rs)\underline{a}b                                     	M	143.02603	+08.44191
NGC 2903  	(R')SB(rs,nr)b                               	(R')SA\underline{B}(rs,nr)b                  	 3.0	 0.88	(R')SB(rs,nr)b                                           	M	143.04213	+21.50083
NGC 2919  	SA(s)bc                                      	SA(s)b                                       	 3.5	 0.00	SA(s)\underline{b}c                                      	G	143.69812	+10.28373
UGC 5107  	SB(s)dm sp                                   	SAB(s)dm sp                                  	 8.0	 0.75	SA\underline{B}(s)dm sp                                  	 	143.78075	+05.11983
NGC 2938  	SB(s)dm                                      	SB(s)d                                       	 7.5	 1.00	SB(s)\underline{d}m                                      	F	144.59907	+76.31962
UGC 5114  	SA\underline{B}(s)m                          	SAB(s)m                                      	 9.0	 0.62	SAB(s)m                                                  	F	145.01833	+82.10444
UGC 5139  	Im                                           	dIm                                          	10.0	     	Im                                                       	 	145.13471	+71.18222
PGC 27616 	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	F	145.12932	-08.94360
